name,score
Alice,85.03
Bob,75.23
Charlie,59.18
Diana,50.68
Eve,71.56
Frank,90.01
Grace,54.87
Hank,95.88
Ivy,55.96
Jack,60.39
Karen,82.91
Leo,71.40
Mona,51.01
Nate,69.39
Olivia,98.87
Paul,51.31
Quinn,87.04
Rita,54.82
Sam,67.41
Tina,96.38
Uma,87.95
Vince,78.02
Wendy,95.91
Xander,74.69
Yuki,51.64
Zara,73.48
Aaron,88.11
Beth,89.24
Cody,98.26
Dora,80.26
Eli,97.61
Fay,98.41
Gus,55.56
Holly,89.38
Ivan,65.78
Jade,97.32
Kyle,98.38
Luna,68.62
Max,63.87
Nina,50.98
Oscar,88.11
Petra,80.06
Reed,96.80
Sara,53.66
Troy,71.25
Ursa,58.26
Val,74.67
Wade,94.24
Xena,95.63
Yale,90.62
Zoe,93.79
Amir,77.70
Bella,79.71
Cruz,58.92
Delia,95.02
Ethan,97.06
Flora,91.29
Gage,77.55
Hazel,97.38
Igor,91.44
Julia,83.50
Kent,99.47
Lily,88.17
Miles,53.36
Nora,90.29
Owen,75.75
Piper,55.25
Ronan,67.09
Stella,94.14
Theo,83.33
Viola,85.66
Wyatt,71.26
Aria,61.80
Blake,64.03
Clara,95.51
Drake,81.52
Elsa,59.24
Finn,88.29
Gemma,60.34
Hugo,52.02
Isla,64.86
Joel,60.95
Kira,63.07
Lance,69.56
Mira,56.92
Neil,50.73
Opal,63.73
Priya,77.80
Ravi,93.73
Suki,51.36
Tara,56.78
Uri,56.00
Vera,56.07
Wren,76.39
Yara,63.55
Zeke,71.38
Alma,60.27
Beau,62.51
Cleo,98.44
Dex,74.32
